paper_id,category
0704.0047,cs.AI
0704.0050,cs.AI
0704.0304,cs.AI
0704.0985,cs.AI
0704.1028,cs.AI
0704.1353,cs.DB
0704.1394,cs.AI
0704.1409,cs.AI
0704.1675,cs.AI
0704.1676,cs.AI
0704.1783,cs.AI
0704.2010,cs.AI
0704.2083,cs.AI
0704.2201,cs.AI
0704.3157,cs.DB
0704.3157,cs.AI
0704.3359,cs.AI
0704.3395,cs.AI
0704.3433,cs.AI
0704.3453,cs.AI
0704.3500,cs.DB
0704.3501,cs.DB
0704.3515,cs.AI
0704.3520,cs.DB
0704.3886,cs.AI
0704.3905,cs.AI
0705.0025,cs.AI
0705.0197,cs.AI
0705.0199,cs.AI
0705.0281,cs.DB
0705.0450,cs.DB
0705.0453,cs.DB
0705.0454,cs.DB
0705.0588,cs.AI
0705.0593,cs.AI
0705.0693,cs.AI
0705.0734,cs.AI
0705.0760,cs.AI
0705.0761,cs.AI
0705.0969,cs.AI
0705.1031,cs.AI
0705.1110,cs.DB
0705.1110,cs.AI
0705.1209,cs.AI
0705.1244,cs.AI
0705.1309,cs.AI
0705.1453,cs.DB
0705.1454,cs.DB
0705.1455,cs.DB
0705.1456,cs.DB
0705.1457,cs.DB
0705.1617,cs.AI
0705.1673,cs.AI
0705.1999,cs.AI
0705.2011,cs.AI
0705.2235,cs.AI
0705.2236,cs.AI
0705.2305,cs.AI
0705.2307,cs.AI
0705.2310,cs.AI
0705.2485,cs.AI
0705.2516,cs.AI
0705.2765,cs.AI
0705.2787,cs.DB
0705.3360,cs.AI
0705.3561,cs.AI
0705.3766,cs.AI
0705.3949,cs.DB
0705.4302,cs.AI
0705.4442,cs.DB
0705.4566,cs.AI
0705.4584,cs.AI
0705.4676,cs.DB
0706.0022,cs.AI
0706.0465,cs.AI
0706.0585,cs.AI
0706.1001,cs.AI
0706.1137,cs.AI
0706.1290,cs.AI
0706.3639,cs.AI
0706.4323,cs.AI
0706.4375,cs.AI
0707.0421,cs.DB
0707.0498,cs.AI
0707.0701,cs.AI
0707.0704,cs.AI
0707.0705,cs.AI
0707.0745,cs.DB
0707.0763,cs.DB
0707.0808,cs.AI
0707.1288,cs.DB
0707.1304,cs.DB
0707.1306,cs.DB
0707.1452,cs.AI
0707.1534,cs.DB
0707.1548,cs.DB
0707.1644,cs.DB
0707.2506,cs.AI
0707.3030,cs.AI
0707.3205,cs.AI
0707.3457,cs.AI
0707.3559,cs.AI
0707.3781,cs.AI
0707.3972,cs.AI
0707.4289,cs.AI
0707.4304,cs.DB
0708.0361,cs.DB
0708.0505,cs.AI
0708.0927,cs.AI
0708.1150,cs.AI
0708.1527,cs.AI
0708.1964,cs.AI
0708.2076,cs.DB
0708.2173,cs.DB
0708.2303,cs.AI
0708.2432,cs.AI
0708.2438,cs.AI
0708.2442,cs.AI
0708.2717,cs.DB
0708.3259,cs.DB
0708.4170,cs.AI
0708.4311,cs.AI
0709.0116,cs.AI
0709.0178,cs.AI
0709.0218,cs.DB
0709.0522,cs.AI
0709.0566,cs.DB
0709.0674,cs.AI
0709.1099,cs.AI
0709.1166,cs.DB
0709.1167,cs.AI
0709.1190,cs.AI
0709.1227,cs.DB
0709.1667,cs.AI
0709.1699,cs.AI
0709.1701,cs.AI
0709.2065,cs.AI
0709.2506,cs.DB
0709.2506,cs.AI
0709.3034,cs.DB
0709.3965,cs.AI
0709.3967,cs.AI
0709.3974,cs.AI
0709.4010,cs.AI
0709.4011,cs.AI
0709.4015,cs.AI
0709.4655,cs.DB
0709.4655,cs.AI
0710.0009,cs.AI
0710.0013,cs.AI
0710.0213,cs.AI
0710.1203,cs.DB
0710.1404,cs.DB
0710.1481,cs.AI
0710.1924,cs.AI
0710.2083,cs.DB
0710.2156,cs.DB
0710.2227,cs.AI
